ID;name;email;stardustCollection;wormholeNavigationSkill;originPlanet_code;spacesuitColor_code;department_ID;position_ID;callSign;launchedAt;onboardingBonus;wormholeCertification
c0000000-0000-4000-8000-000000000011;Kaia Nakamura;kaia.nakamura@galactic.example;27000;10;X;GOLD;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000003;X-KN-1C2D;2022-09-15T06:50:00Z;100;Master
c0000000-0000-4000-8000-000000000012;Leo Fontaine;leo.fontaine@galactic.example;120;2;X;SILVER;;;X-LF-3E4F;2026-01-11T14:20:00Z;100;Cadet
c0000000-0000-4000-8000-000000000013;Mara Kowalski;mara.kowalski@galactic.example;780;3;X;VIOLET;d0000000-0000-4000-8000-000000000003;b0000000-0000-4000-8000-000000000006;X-MK-5A6B;2025-02-27T15:15:00Z;100;Cadet
c0000000-0000-4000-8000-000000000014;Nils Andersen;nils.andersen@galactic.example;5600;6;X;EMERALD;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000005;X-NA-7C8D;2024-07-07T08:00:00Z;100;Navigator
c0000000-0000-4000-8000-000000000015;Odalys Reyes;odalys.reyes@galactic.example;99;4;X;BLACK;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000011;X-OR-9E0F;2026-04-01T09:45:00Z;100;Navigator
c0000000-0000-4000-8000-000000000016;Priya Chandra;priya.chandra@galactic.example;3400;7;X;WHITE;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000009;X-PC-1A2C;2024-10-19T11:00:00Z;100;Navigator
c0000000-0000-4000-8000-000000000017;Quentin Dubois;quentin.dubois@galactic.example;18;1;X;RED;;;X-QD-3B4D;2026-05-23T12:30:00Z;100;Cadet
c0000000-0000-4000-8000-000000000018;Rosa Villanueva;rosa.villanueva@galactic.example;11500;9;X;BLUE;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000012;X-RV-5D6E;2023-06-14T07:10:00Z;100;Master
c0000000-0000-4000-8000-000000000019;Sami Al-Rashid;sami.alrashid@galactic.example;640;5;X;GOLD;d0000000-0000-4000-8000-000000000005;b0000000-0000-4000-8000-000000000010;X-SA-7F8A;2025-09-30T13:40:00Z;100;Navigator
c0000000-0000-4000-8000-000000000020;Tova Berg;tova.berg@galactic.example;2900;4;X;SILVER;d0000000-0000-4000-8000-000000000003;b0000000-0000-4000-8000-000000000007;X-TB-9B0C;2024-12-02T10:20:00Z;100;Navigator
c0000000-0000-4000-8000-000000000021;Ulla Hoffmann;ulla.hoffmann@galactic.example;210;3;X;VIOLET;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000004;X-UH-1D2E;2025-11-16T08:55:00Z;100;Cadet
c0000000-0000-4000-8000-000000000022;Viktor Petrov;viktor.petrov@galactic.example;7300;8;X;EMERALD;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000002;X-VP-3F4A;2024-02-08T09:15:00Z;100;Master
c0000000-0000-4000-8000-000000000023;Wren Gallagher;wren.gallagher@galactic.example;75;2;X;BLACK;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000008;X-WG-5B6C;2026-06-05T14:00:00Z;100;Cadet
c0000000-0000-4000-8000-000000000024;Xiomara Ortiz;xiomara.ortiz@galactic.example;1050;6;X;WHITE;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000011;X-XO-7D8E;2025-07-25T11:30:00Z;100;Navigator
c0000000-0000-4000-8000-000000000025;Yusuf Demir;yusuf.demir@galactic.example;13400;9;Y;RED;d0000000-0000-4000-8000-000000000003;b0000000-0000-4000-8000-000000000007;Y-YD-9F0A;2023-04-10T08:00:00Z;100;Master
c0000000-0000-4000-8000-000000000026;Zara Okonkwo;zara.okonkwo@galactic.example;480;3;Y;BLUE;d0000000-0000-4000-8000-000000000003;b0000000-0000-4000-8000-000000000006;Y-ZO-1B2C;2025-10-12T09:20:00Z;100;Cadet
c0000000-0000-4000-8000-000000000027;Anouk de Vries;anouk.devries@galactic.example;2600;5;Y;GOLD;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000001;Y-ADV-3D4E;2024-08-22T10:40:00Z;100;Navigator
c0000000-0000-4000-8000-000000000028;Benedikt Huber;benedikt.huber@galactic.example;30;1;Y;SILVER;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000004;Y-BH-5F6A;2026-07-01T12:00:00Z;100;Cadet
c0000000-0000-4000-8000-000000000029;Carmen Ibáñez;carmen.ibanez@galactic.example;8900;7;Y;VIOLET;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000009;Y-CI-7B8C;2024-04-04T07:30:00Z;100;Navigator
c0000000-0000-4000-8000-000000000030;Dmitri Volkov;dmitri.volkov@galactic.example;1700;6;Y;EMERALD;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000002;Y-DV-9D0E;2025-03-15T13:10:00Z;100;Navigator
c0000000-0000-4000-8000-000000000031;Esme Whitfield;esme.whitfield@galactic.example;260;2;Y;BLACK;d0000000-0000-4000-8000-000000000005;b0000000-0000-4000-8000-000000000010;Y-EW-1F2A;2026-01-28T08:25:00Z;100;Cadet
c0000000-0000-4000-8000-000000000032;Felix Brandt;felix.brandt@galactic.example;10500;8;Y;WHITE;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000012;Y-FB-3B4C;2023-08-19T09:50:00Z;100;Master
c0000000-0000-4000-8000-000000000033;Gia Tran;gia.tran@galactic.example;95;4;Y;RED;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000011;Y-GT-5D6E;2026-02-20T11:15:00Z;100;Navigator
c0000000-0000-4000-8000-000000000034;Hamza Qureshi;hamza.qureshi@galactic.example;3900;5;Y;BLUE;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000005;Y-HQ-7F8A;2024-11-11T10:05:00Z;100;Navigator
c0000000-0000-4000-8000-000000000035;Ines Moreau;ines.moreau@galactic.example;720;3;Y;GOLD;;;Y-IM-9B0C;2025-05-30T14:45:00Z;100;Cadet
c0000000-0000-4000-8000-000000000036;Jarek Nowak;jarek.nowak@galactic.example;5100;6;Y;SILVER;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000009;Y-JN-1D2E;2024-06-16T08:35:00Z;100;Navigator
c0000000-0000-4000-8000-000000000037;Keziah Mensah;keziah.mensah@galactic.example;40;2;Y;VIOLET;d0000000-0000-4000-8000-000000000003;b0000000-0000-4000-8000-000000000006;Y-KM-3F4A;2026-04-22T09:00:00Z;100;Cadet
c0000000-0000-4000-8000-000000000038;Lucas Ferreira;lucas.ferreira@galactic.example;16800;10;Y;EMERALD;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000003;Y-LF-5B6C;2022-12-01T07:45:00Z;100;Master
c0000000-0000-4000-8000-000000000039;Maeve O'Connor;maeve.oconnor@galactic.example;330;4;Y;BLACK;d0000000-0000-4000-8000-000000000005;b0000000-0000-4000-8000-000000000010;Y-MO-7D8E;2025-09-08T12:50:00Z;100;Navigator
c0000000-0000-4000-8000-000000000040;Nadia Sultanova;nadia.sultanova@galactic.example;2200;5;Y;WHITE;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000011;Y-NS-9F0A;2025-01-05T10:10:00Z;100;Navigator
c0000000-0000-4000-8000-000000000041;Oskar Lindgren;oskar.lindgren@galactic.example;880;3;Y;RED;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000004;Y-OL-1B2D;2025-12-13T13:30:00Z;100;Cadet
c0000000-0000-4000-8000-000000000042;Paloma Castillo;paloma.castillo@galactic.example;6400;7;Y;BLUE;d0000000-0000-4000-8000-000000000003;b0000000-0000-4000-8000-000000000007;Y-PC-3D4F;2024-09-27T08:20:00Z;100;Navigator
c0000000-0000-4000-8000-000000000043;Rafael Souza;rafael.souza@galactic.example;12;1;Y;GOLD;;;Y-RS-5F6B;2026-08-02T11:40:00Z;100;Cadet
c0000000-0000-4000-8000-000000000044;Selin Kaya;selin.kaya@galactic.example;1300;4;Y;SILVER;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000008;Y-SK-7B8D;2025-06-09T09:35:00Z;100;Navigator
c0000000-0000-4000-8000-000000000045;Tarek Mansour;tarek.mansour@galactic.example;21000;9;ZOG;BLACK;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000005;ZOG-TM-9D0F;2023-02-17T06:30:00Z;150;Master
c0000000-0000-4000-8000-000000000046;Ulrika Nyström;ulrika.nystrom@galactic.example;4700;6;ZOG;RED;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000005;ZOG-UN-1F2B;2024-10-03T08:10:00Z;150;Navigator
c0000000-0000-4000-8000-000000000047;Vance Holloway;vance.holloway@galactic.example;150;2;ZOG;SILVER;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000004;ZOG-VH-3B4D;2026-03-19T10:50:00Z;150;Cadet
c0000000-0000-4000-8000-000000000048;Wafa Benali;wafa.benali@galactic.example;9200;8;ZOG;GOLD;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000009;ZOG-WB-5D6F;2024-05-25T12:25:00Z;150;Master
c0000000-0000-4000-8000-000000000049;Xander Pieters;xander.pieters@galactic.example;58;3;ZOG;EMERALD;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000004;ZOG-XP-7F8B;2026-05-14T09:15:00Z;150;Cadet
c0000000-0000-4000-8000-000000000050;Yara Haddad;yara.haddad@galactic.example;1900;5;KEPLER;WHITE;d0000000-0000-4000-8000-000000000005;b0000000-0000-4000-8000-000000000010;KEPLER-YH-9B0D;2025-02-06T11:05:00Z;100;Navigator
c0000000-0000-4000-8000-000000000051;Zoltán Varga;zoltan.varga@galactic.example;410;4;KEPLER;BLUE;d0000000-0000-4000-8000-000000000005;b0000000-0000-4000-8000-000000000010;KEPLER-ZV-1D2F;2025-08-28T13:55:00Z;100;Navigator
c0000000-0000-4000-8000-000000000052;Amara Diallo;amara.diallo@galactic.example;14200;9;KEPLER;VIOLET;d0000000-0000-4000-8000-000000000005;b0000000-0000-4000-8000-000000000010;KEPLER-AD-3F4B;2023-09-21T07:40:00Z;100;Master
c0000000-0000-4000-8000-000000000053;Bastian Kroll;bastian.kroll@galactic.example;22;1;KEPLER;BLACK;;;KEPLER-BK-5B6D;2026-06-27T08:45:00Z;100;Cadet
c0000000-0000-4000-8000-000000000054;Chiara Russo;chiara.russo@galactic.example;3100;6;VEGA;GOLD;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000009;VEGA-CR-7D8F;2024-12-18T10:15:00Z;150;Navigator
c0000000-0000-4000-8000-000000000055;Daan Visser;daan.visser@galactic.example;690;3;VEGA;RED;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000008;VEGA-DV-9F0B;2025-11-02T12:40:00Z;150;Cadet
c0000000-0000-4000-8000-000000000056;Efua Boateng;efua.boateng@galactic.example;11900;8;VEGA;SILVER;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000009;VEGA-EB-1B2E;2023-07-13T09:25:00Z;150;Master
c0000000-0000-4000-8000-000000000057;Finn Mackenzie;finn.mackenzie@galactic.example;84;2;VEGA;EMERALD;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000008;VEGA-FM-3D4A;2026-07-20T14:10:00Z;150;Cadet
c0000000-0000-4000-8000-000000000058;Grace Nwosu;grace.nwosu@galactic.example;2500;7;ORION;WHITE;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000011;ORION-GN-5F6C;2024-11-29T08:50:00Z;150;Navigator
c0000000-0000-4000-8000-000000000059;Hiro Tanaka;hiro.tanaka@galactic.example;19500;10;ORION;BLUE;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000012;ORION-HT-7B8E;2022-10-24T06:15:00Z;150;Master
c0000000-0000-4000-8000-000000000060;Ivana Horvat;ivana.horvat@galactic.example;370;4;ORION;VIOLET;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000011;ORION-IH-9D0A;2025-10-26T11:20:00Z;150;Navigator
